Provinces,Population,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Banteay Meanchey,M15+,237424,245385,253613,260638,267859,275279,282904,290741,298795,307072,315578,324320,333305,342538,352026,361778,371800,382099,392684,403562,414741,426230,438037,450171,462642,475458,488628,502164,516075,530371
Battambang,M15+,359681,371856,384443,379050,373732,368489,363319,358222,353196,348241,343356,338539,333789,329106,324489,319937,315448,311023,306660,302357,298115,293933,289809,285744,281735,277782,273885,270043,266254,262519
Kampong Cham,M15+,557568,570484,583699,575510,567436,559475,551626,543888,536257,528734,521316,514002,506791,499682,492671,485760,478945,472225,465600,459068,452628,446278,440017,433844,427757,421756,415839,410006,404253,398582
Kampong_Chhnang,M15+,157664,163751,170072,170220,170367,170515,170663,170811,170959,171107,171256,171404,171553,171702,171851,172000,172149,172298,172448,172597,172747,172897,173047,173197,173347,173497,173648,173798,173949,174100
Kampong Speu,M15+,237041,244992,253210,259348,265635,272074,278669,285424,292343,299430,306688,314122,321737,329536,337524,345706,354086,362669,371460,380465,389687,399134,408809,418719,428869,439265,449913,460819,471989,483431
Kampong Thom,M15+,211330,219784,228575,227843,227114,226387,225662,224940,224220,223502,222787,222074,221363,220654,219948,219244,218542,217843,217145,216450,215757,215067,214378,213692,213008,212326,211647,210969,210294,209621
Kampot,M15+,201287,209930,218944,217813,216688,215568,214455,213347,212245,211149,210058,208973,207893,206819,205751,204688,203631,202579,201532,200491,199456,198425,197400,196381,195366,194357,193353,192354,191360,190372
Kandal,M15+,399872,396820,393791,398338,402938,407591,412297,417058,421874,426745,431673,436658,441700,446800,451960,457179,462458,467798,473200,478664,484191,489782,495438,501159,506946,512799,518721,524711,530770,536898
Koh Kong,M15+,39884,40712,41556,41632,41709,41786,41863,41940,42017,42094,42172,42249,42327,42405,42483,42561,42640,42718,42797,42875,42954,43033,43113,43192,43271,43351,43431,43511,43591,43671
Kratie,M15+,106153,108763,111438,112932,114446,115980,117535,119110,120707,122325,123965,125627,127311,129017,130747,132500,134276,136076,137900,139749,141622,143521,145444,147394,149370,151372,153402,155458,157542,159654
Mondul_Kiri,M15+,20769,21476,22207,22954,23727,24525,25351,26204,27086,27998,28940,29914,30921,31961,33037,34149,35298,36486,37714,38983,40295,41652,43053,44502,46000,47548,49148,50803,52512,54280
Phnom Penh,M15+,565105,597744,632268,657222,683162,710125,738152,767286,797569,829048,861769,895781,931136,967886,1006087,1045795,1087070,1129975,1174573,1220931,1269119,1319209,1371276,1425397,1481655,1540133,1600919,1664105,1729784,1798055
Preah Vihear,M15+,63913,69054,74607,75428,76259,77098,77947,78805,79673,80550,81437,82334,83240,84156,85083,86020,86967,87924,88892,89871,90860,91861,92872,93895,94928,95973,97030,98098,99178,100270
Prey Veng,M15+,339853,361639,384821,379422,374099,368851,363676,358574,353544,348584,343693,338871,334117,329430,324808,320251,315759,311329,306961,302655,298409,294222,290094,286025,282012,278055,274155,270308,266516,262777
Pursat,M15+,134244,139244,144430,143082,141746,140422,139111,137813,136526,135251,133989,132738,131498,130271,129055,127850,126656,125474,124302,123142,121992,120853,119725,118607,117500,116403,115316,114239,113173,112116
Ratanak Kiri,M15+,51849,54396,57068,58075,59100,60143,61204,62284,63383,64501,65640,66798,67977,69176,70397,71639,72903,74190,75499,76831,78187,79566,80970,82399,83853,85333,86839,88371,89930,91517
Siem Reap,M15+,286491,290863,295302,299597,303954,308375,312860,317411,322027,326711,331462,336283,341174,346136,351171,356278,361460,366717,372051,377462,382952,388522,394172,399905,405721,411622,417609,423683,429845,436097
Preah Sihanouk,M15+,83686,87243,90951,93896,96936,100074,103314,106659,110112,113677,117357,121157,125079,129129,133310,137626,142082,146682,151430,156333,161395,166620,172014,177583,183333,189268,195396,201722,208253,214996
Stung Treng,M15+,38154,39608,41117,42952,44869,46871,48963,51148,53431,55816,58307,60909,63627,66467,69433,72532,75769,79150,82682,86372,90227,94254,98460,102854,107445,112240,117249,122482,127948,133658
Svay Rieng,M15+,181945,194659,208261,205339,202458,199618,196818,194056,191334,188650,186003,183394,180821,178284,175783,173317,170885,168488,166124,163793,161496,159230,156996,154793,152622,150481,148370,146288,144236,142212
Takeo,M15+,292661,305573,319055,317664,316280,314901,313528,312162,310801,309446,308097,306754,305417,304086,302761,301441,300127,298819,297516,296219,294928,293643,292363,291088,289819,288556,287298,286046,284799,283558
