Province,Baseline incidence,Intervention scenario,Year,Prevalence in M15+
Pursat,high,no_prim,2020,0.058445596468067025
Pursat,high,no_prim,2025,0.06395962710219563
Pursat,high,prim,2020,0.05813911605810759
Pursat,high,prim,2025,0.014074294112959943
Pursat,low,no_prim,2020,0.010364872025769318
Pursat,low,no_prim,2025,0.008341185136253017
Pursat,low,prim,2020,0.01031197886065403
Pursat,low,prim,2025,0.0017874914511029829
Mondul_Kiri,high,no_prim,2020,0.09102084621858786
Mondul_Kiri,high,no_prim,2025,0.08193464068063029
Mondul_Kiri,high,prim,2020,0.09054260758877625
Mondul_Kiri,high,prim,2025,0.017586108054057647
Mondul_Kiri,low,no_prim,2020,0.026395870129979203
Mondul_Kiri,low,no_prim,2025,0.016519472381353165
Mondul_Kiri,low,prim,2020,0.026261534906279485
Mondul_Kiri,low,prim,2025,0.0033583957035884797
Kampong_Chhnang,high,no_prim,2020,0.007068132164498747
Kampong_Chhnang,high,no_prim,2025,0.007568291492614986
Kampong_Chhnang,high,prim,2020,0.007031066654894105
Kampong_Chhnang,high,prim,2025,0.0015570082166013527
Kampong_Chhnang,low,no_prim,2020,0.0012111594074414643
Kampong_Chhnang,low,no_prim,2025,0.0008382015125045667
Kampong_Chhnang,low,prim,2020,0.0012050328735170382
Kampong_Chhnang,low,prim,2025,0.00017883490773864646
Battambang,high,no_prim,2020,0.010560331583308817
Battambang,high,no_prim,2025,0.012056666766507988
Battambang,high,prim,2020,0.010504978745341707
Battambang,high,prim,2025,0.0024257726526679202
Battambang,low,no_prim,2020,0.0015512381418263642
Battambang,low,no_prim,2025,0.0011895318979652856
Battambang,low,prim,2020,0.00154336768406209
Battambang,low,prim,2025,0.00024291526545248333
Takeo,high,no_prim,2020,0.001961807722572625
Takeo,high,no_prim,2025,0.0021155793166647563
Takeo,high,prim,2020,0.0019515364850774288
Takeo,high,prim,2025,0.00042773524117284444
Takeo,low,no_prim,2020,0.0003208667487254279
Takeo,low,no_prim,2025,0.0002466340153478838
Takeo,low,prim,2020,0.0003192342409979105
Takeo,low,prim,2025,5.217160590064255e-05
Pailin,high,no_prim,2020,0.03646739895617498
Pailin,high,no_prim,2025,0.03755031860051332
Pailin,high,prim,2020,0.03627553313737119
Pailin,high,prim,2025,0.008026696118687858
Pailin,low,no_prim,2020,0.005225227188193048
Pailin,low,no_prim,2025,0.004001157370114082
Pailin,low,prim,2020,0.005198409472636092
Pailin,low,prim,2025,0.0008103781234853329
